1544906122.826335,interrupt,detection,(Arduino,external
1544906126.360283,-445,-570,4256,0
1544906126.3766942,-453,-571,4264,0
1544906126.392391,-453,-578,4270,0
1544906126.4050975,-455,-570,4267,0
1544906126.4214458,-451,-570,4276,0
1544906126.4376047,-449,-570,4274,0
1544906126.450391,-452,-572,4264,0
1544906126.4665422,-456,-583,4271,0
1544906126.48253,-460,-581,4270,0
1544906126.4953022,-449,-579,4266,0
1544906126.5117707,-443,-577,4269,0
1544906126.527748,-447,-581,4269,0
1544906126.5404022,-450,-577,4274,0
1544906126.5566235,-452,-582,4274,0
1544906126.5727844,-447,-578,4268,0
1544906126.5854049,-447,-577,4269,0
1544906126.6020262,-448,-584,4265,0
1544906126.6176014,-453,-580,4267,0
1544906126.630444,-457,-583,4269,0
1544906126.6468985,-450,-584,4263,0
1544906126.6629035,-450,-581,4260,0
1544906126.6753328,-450,-577,4266,0
1544906126.6917422,-453,-580,4258,0
1544906126.7078512,-456,-586,4250,0
1544906126.7205863,-453,-587,4257,0
1544906126.737086,-454,-587,4256,0
1544906126.752832,-453,-584,4257,0
1544906126.765404,-457,-585,4252,0
1544906126.7820249,-461,-587,4250,0
1544906126.7979658,-462,-591,4262,0
1544906126.810722,-456,-595,4271,0
1544906126.8268535,-450,-595,4257,0
1544906126.8430474,-451,-598,4257,0
1544906126.8556495,-459,-601,4268,0
1544906126.8720386,-458,-602,4259,0
1544906126.8880253,-452,-599,4253,0
1544906126.9005888,-460,-596,4264,0
1544906126.9171357,-459,-596,4266,0
1544906126.9331446,-447,-597,4263,0
1544906126.9457564,-441,-592,4252,0
1544906126.9621286,-449,-595,4260,0
1544906126.9781144,-455,-595,4265,0
1544906126.9907146,-460,-592,4258,0
1544906127.0072153,-464,-593,4256,0
1544906127.0229378,-466,-593,4259,0
1544906127.0357337,-457,-598,4251,0
1544906127.0521867,-460,-602,4256,0
1544906127.068315,-457,-605,4263,0
1544906127.0809758,-453,-603,4254,0
1544906127.097103,-451,-610,4261,0
1544906127.1131644,-454,-610,4272,0
1544906127.125976,-457,-609,4261,0
1544906127.1423218,-457,-609,4268,0
1544906127.1584253,-452,-617,4265,0
1544906127.1704614,-453,-621,4263,0
1544906127.1872241,-453,-627,4275,0
1544906127.2033203,-456,-623,4265,0
1544906127.2158654,-451,-619,4251,0
1544906127.2323043,-455,-619,4250,0
1544906127.2482285,-461,-632,4259,0
1544906127.260916,-456,-633,4259,0
1544906127.2773035,-451,-631,4266,0
1544906127.2935789,-453,-631,4257,0
1544906127.3059576,-459,-623,4245,0
1544906127.3222945,-469,-620,4246,0
1544906127.338497,-468,-607,4254,0
1544906127.3511608,-458,-597,4258,0
1544906127.3674178,-448,-591,4258,0
1544906127.3836186,-447,-586,4250,0
1544906127.3961835,-462,-576,4247,0
1544906127.4126794,-469,-560,4246,0
1544906127.428659,-467,-551,4252,0
1544906127.4413722,-461,-534,4262,0
1544906127.4575505,-448,-519,4269,0
1544906127.4736824,-451,-508,4263,0
1544906127.4862769,-461,-501,4265,0
1544906127.5028012,-464,-487,4262,0
1544906127.5187557,-452,-466,4266,0
1544906127.5312061,-444,-445,4275,0
1544906127.547787,-452,-429,4283,0
1544906127.563787,-468,-415,4279,0
1544906127.57649,-473,-405,4268,0
1544906127.5927417,-466,-419,4271,0
1544906127.6088402,-453,-441,4283,0
1544906127.6213536,-431,-464,4275,0
1544906127.6377604,-425,-477,4267,0
1544906127.6537166,-440,-494,4281,0
1544906127.6662743,-463,-505,4274,0
1544906127.6828406,-476,-524,4259,0
1544906127.6989174,-475,-539,4262,0
1544906127.7115405,-459,-553,4264,0
1544906127.727851,-449,-567,4259,0
1544906127.7438238,-445,-580,4264,0
1544906127.7565875,-454,-588,4267,0
1544906127.7729032,-468,-606,4263,0
1544906127.7890067,-473,-621,4281,0
1544906127.801534,-465,-644,4272,0
1544906127.8179107,-456,-661,4260,0
1544906127.833872,-450,-668,4257,0
1544906127.8467677,-473,-686,4264,0
1544906127.862879,-484,-702,4250,0
1544906127.878954,-443,-684,4244,0
1544906127.8916495,-427,-659,4288,0
1544906127.9080021,-454,-647,4303,0
1544906127.9236205,-465,-634,4253,0
1544906127.9360723,-472,-626,4217,0
1544906127.9531822,-471,-623,4273,0
1544906127.9689736,-459,-616,4287,0
1544906127.9812036,-438,-608,4254,0
1544906127.9974873,-457,-602,4258,0
1544906128.0137,-480,-603,4267,0
1544906128.026298,-472,-596,4241,0
1544906128.042826,-458,-603,4247,0
1544906128.0591567,-453,-611,4280,0
1544906128.0714579,-444,-616,4269,0
1544906128.0881946,-439,-623,4251,0
1544906128.1042013,-460,-618,4254,0
1544906128.1169605,-471,-621,4256,0
1544906128.1334019,-464,-625,4241,0
1544906128.1493115,-454,-627,4243,0
1544906128.1617424,-452,-635,4273,0
1544906128.1781783,-446,-636,4275,0
1544906128.1942563,-445,-638,4260,0
1544906128.207032,-451,-652,4258,0
1544906128.2234607,-463,-648,4248,0
1544906128.239469,-471,-643,4263,0
1544906128.2519925,-465,-644,4283,0
1544906128.2685387,-453,-655,4284,0
1544906128.2843301,-425,-671,4253,0
1544906128.2969408,-432,-693,4253,0
1544906128.3135145,-463,-713,4281,0
1544906128.3296158,-490,-724,4283,0
1544906128.341904,-493,-721,4257,0
1544906128.3583372,-471,-717,4251,0
1544906128.3744583,-444,-705,4252,0
1544906128.387089,-425,-696,4253,0
